ARIA,413,177
VERONICA,0,16
NICA,3,86
ICA,9,221
RAHAIU,40,483
HAIU,50,516
ANGGITA,4,91
GITA,28,310
SETIANINGRUM,1,36
GRUM,2,370
MAHARANI,3,219
RANI,22,591
SHELINA,0,5
LINA,9,662
BAIU,425,13
AUNILA,1,0
SAHRONI,33,2
RONI,192,11
UMU,3,23
FARWAH,1,1
RWAH,1,11
WAH,3,41
SULTAN,48,2
LTAN,49,2
TAN,134,426
MASHURIDO,1,0
RIDO,196,2
IDO,224,3
AINUR,42,38
INUR,67,42
RAFIK,14,1
AFIK,67,14
SAIFULAH,28,1
ULAH,627,40
ALDI,660,3
LDI,681,4
SUL,238,27
FAHMI,234,15
AHMI,255,66
HMI,257,69
DEANDRA,1,8
MUTIARA,3,154
KAIANA,0,3
ARIASENA,1,0
SENA,38,21
ENA,73,217
IUNAN,3,1
UNAN,20,7
ADAM,204,1
DAM,224,6
I,84,61
IUNIA,0,26
UNIA,5,63
MULIA,58,43
IRIANTO,13,2
USMAN,32,5
SMAN,117,13
AMANDA,11,174
WIANETANISSA,0,1
ISSA,9,173
SSA,20,246
APRILIA,9,370
ILIA,16,677
NURUL,161,685
URUL,162,692
WIDIANTI,0,54
SULKARNAIN,14,3
NAIN,27,5
AIN,111,40
ABEL,11,17
BEL,13,19
ADITIA,737,50
ITIA,901,88
ARIAGUNA,2,0
GUNA,64,9
UNA,116,106
APRILIANTO,28,2
WARDANA,71,8
SUNAN,6,0
FATAH,44,0
ATAH,55,1
TAH,122,50
ADIANSAH,11,0
NSAH,2331,81
FERDIAN,46,1
DIAN,496,353
HAIANTI,0,4
ALFA,45,41
LFA,62,228
RESA,350,122
ESA,441,273
FARISKI,12,0
ISKI,1722,520
SKI,1776,557
SANTOSO,199,29
TOSO,204,29
OSO,285,32
NANDA,122,160
FATMA,1,44
ATMA,26,55
TMA,28,58
PRATIWI,7,289
TIWI,8,409
IWI,18,470
ELMA,0,34
LMA,13,257
NARISKA,0,1
IVANASARI,0,1
SARI,109,2761
RADEN,35,13
ADEN,54,15
DEN,132,40
PRAIOGA,135,1
RIRIN,1,70
IRIN,71,105
RIN,136,231
ARIUMINA,0,1
MINA,2,34
RAFLI,154,1
AFLI,156,1
FLI,177,2
IBNU,210,3
BNU,210,3
BASHARI,1,0
HARI,237,55
ROHMAWATIAFIFAH,0,1
KRISNA,101,21
ISNA,203,210
SNA,239,425
LISTIA,0,27
STIA,62,188
WIJAIANTI,2,88
DARMA,57,9
ARMA,77,11
RMA,88,203
ALFIATUS,0,9
ATUS,15,490
TUS,50,536
SHOLEHAH,0,29
EHAH,0,78
HAH,21,402
RISSA,2,8
IRMA,5,125
R,241,189
INGGIT,2,9
GGIT,25,17
GIT,147,22
KUSUMANINGRUM,0,14
INTAN,8,385
NTAN,15,406
MIFTAHUL,126,66
AHUL,180,81
MARDIAH,1,37
DIAH,14,699
IAH,134,3609
FITRI,16,473
DEWA,65,4
EWA,65,5
GEDE,4,1
EDE,243,94
NGURAH,3,1
URAH,4,12
RAH,139,357
WIDNIANA,1,0
IHLAS,6,2
HLAS,14,4
LAS,61,18
FITROH,9,12
TROH,9,13
ROH,35,760
LEKSONO,9,2
SONO,273,15
VIVIANA,0,3
GABRILA,0,20
RILA,13,58
WILIM,0,1
ILIM,0,3
LIM,236,30
TEFA,0,2
EFA,21,29
DWIKI,37,2
WIKI,44,3
IKI,719,154
SANDRA,13,35
NUGROHO,366,20
ROHO,378,20
OHO,380,23
ELVIA,0,5
FLAURENINDIA,0,1
NDIA,16,130
DARA,17,49
ALVITIARA,0,1
FRIDIAH,0,1
NURINDAH,0,8
MAWARNI,1,22
ARNI,5,138
RNI,18,256
GINA,10,102
W,114,75
RENDI,210,2
ENDI,825,61
ANDIKA,409,22
DIKA,793,107
ARDIANSAH,383,0
FEBIOLA,0,10
IOLA,2,56
ANGGRAINI,2,165
POPPI,0,7
OPPI,2,11
PPI,6,23
HINTIA,0,45
IMAN,270,17
APSARI,1,4
M,2540,154
GILANG,202,7
LANG,343,21
AISAD,1,0
ISAD,4,0
SAD,97,5
ABDUL,902,5
BDUL,904,5
DUL,952,11
GOFUR,10,0
OFUR,26,0
FUR,56,0
FLORENCIA,1,5
NCIA,4,16
CIA,8,97
A,427,230
SOLAUDIN,1,0
MALIKI,13,0
LIKI,14,2
IULIANTO,124,3
AJENG,4,151
JENG,7,173
ENG,129,509
ARIFIANTI,0,6
PANJI,69,0
ANJI,76,2
NJI,82,3
BIMA,93,3
IMA,151,234
ANGGARA,79,5
GARA,136,14
AL,704,167
VIANA,0,10
NING,21,219
ING,93,264
SUSANTI,3,166
RAIHANI,0,1
HANI,69,157
ROSTIAWATI,0,2
HANANI,4,3
NANI,48,77
SEPTI,9,102
EPTI,10,105
PTI,11,110
NURSALAM,2,2
ALAM,155,15
LAM,196,56
NURTASINAH,0,1
INAH,3,254
NAH,32,1683
TATI,0,49
LIANA,3,40
SISKA,5,124
FITRIANA,5,97
WIDIARTI,0,10
ARTI,7,241
RTI,22,278
NOVITA,5,264
VITA,12,461
LARASARI,0,1
ALGADISK,0,1
DISK,0,1
ISK,10,2
MILI,2,7
ILI,103,239
IANDA,2,1
ALVIAN,44,1
VIAN,155,30
MANGGAIUH,1,0
AIUH,14,2
IUH,14,2
ANGGI,105,127
NGGI,115,132
GGI,134,137
VALENTIN,0,5
NTIN,2,29
NOVIANTI,4,128
HILDA,3,56
ILDA,10,120
MAULANA,1386,39
LANA,1447,69
LATIVA,0,4
TIVA,1,8
IVA,55,190
SHOLIHA,0,17
LIHA,2,58
IHA,17,214
AIMATUL,0,4
ILIMAH,0,1
IMAH,18,770
MAH,92,1676
DJAUHARUDIN,1,0
HOLID,21,1
OLID,24,1
LID,55,4
MAWARDI,5,4
ARDI,337,38
RDI,477,38
IRSASUL,0,1
ASUL,15,4
USASUL,0,1
FADILAH,235,238
FILDATUS,0,1
SOLEHA,0,45
LEHA,1,87
EHA,10,143
SINTIAWATI,0,9
HABIBULAH,8,0
MUHLIHATUL,1,0
FIKROH,1,1
KROH,2,1
HANDAIANI,3,192
MUKSITH,2,0
SITH,10,0
ITH,28,3
WIDI,46,48
IDI,252,72
WICAKSONO,121,4
NANDANG,15,0
DANG,102,72
SUPRIATNA,72,6
ATNA,145,228
TNA,153,253
ASEP,307,3
SEP,362,3
MELNIA,0,1
LNIA,0,2
HETI,0,15
ETI,5,155
MARIATI,0,19
IATI,31,1080
LA,3,4
NATALA,0,1
TALA,5,2
ALA,87,322
WNDANNGSH,0,1
NGSH,0,2
GSH,0,2
TTN,0,1
SUMAT,0,1
UMAT,0,1
MAT,496,19
PURNAMA,106,77
NAMA,116,81
HERIANSAH,7,0
FINDA,0,4
PUSPITASARI,0,149
RAHMANTO,17,1
IWAN,90,2
FERRI,46,1
ERRI,95,19
RRI,123,36
BUDIANTO,45,3
AGUNG,518,19
GUNG,524,20
UNG,658,100
WAHID,98,2
AHID,169,4
HID,186,7
APRILIANDIKA,1,0
GESANG,4,0
SANG,14,7
BAGUS,450,0
JEFRI,39,0
EFRI,50,4
FRI,88,9
MURTADLO,7,0
ADLO,8,0
DLO,20,0
AINUN,31,67
INUN,40,73
NUN,51,100
NAIM,21,5
AIM,35,10
ALVI,8,20
ELSA,6,166
LSA,18,295
DAMAIANTI,1,172
CITRA,9,151
ITRA,61,176
NILASARI,0,5
SHOLIHATUNNISAA,0,1
ISAA,0,10
SAA,1,17
SOFIA,3,48
OFIA,3,84
FIA,15,354
WIDIAWATI,0,57
SAPUTRO,253,3
UTRO,317,3
TRO,326,3
ALFINIO,1,0
INIO,3,0
NIO,37,2
FATIMAH,5,190
MARIO,31,0
ARIO,134,4
RIO,567,15
GALANG,79,0
PRASETIO,586,21
ETIO,745,58
WISNU,154,2
ISNU,161,3
SNU,163,4
MAHENDRA,103,7
KUSUMA,176,155
SUMA,188,163
UMA,196,178
WIBOWO,236,20
WALIIUDIN,1,0
AMIN,163,14
MIN,264,75
IOHAN,11,1
OHAN,65,7
HAN,892,141
LISA,5,389
SETIA,145,110
ETIA,340,141
BEKTI,10,17
WIDATEN,0,1
ATEN,1,4
TEN,12,11
SAMBODO,4,0
BODO,21,2
ODO,131,10
DEVI,20,329
INDRIANI,5,154
ASISARI,0,1
KALBIAS,0,1
BIAS,3,2
S,392,267
RISKI,1629,486
TRIRAHADI,1,0
HADI,361,22
ROMADON,105,2
ADON,125,2
DON,141,3
LUTFIATUS,0,1
SAADAH,3,89
KARMILA,0,21
MILA,4,232
SARIATUN,0,3
ATUN,13,716
SUMROTUN,0,6
SAKIAH,0,46
KIAH,2,156
TUTIK,0,22
UTIK,2,88
TIK,15,200
PRIHATI,0,3
HATI,5,54
ARIS,501,30
RIS,624,97
ASATUL,0,1
REGNA,0,1
EGNA,0,1
GNA,7,3
NORVANIA,0,1
RISIA,0,2
ISIA,2,41
MEVIANA,0,1
RITNA,0,2
ITNA,3,7
BUDIARTO,18,0
RISMA,6,155
ISMA,85,306
SMA,94,348
ROHIMA,1,4
HIMA,3,18
FERDI,79,0
ERDI,123,0
APRILANSAH,1,0
KURNIASIH,1,47
ASIH,37,267
ERSA,13,25
RIROH,0,1
IROH,6,288
AMIRA,0,11
MIRA,2,107
MASTURINAH,0,1
SULFAHMI,1,0
AHIA,255,160
HIA,284,276
SUCI,7,239
UCI,16,247
SAFIA,1,7
AFIA,5,36
DITTO,2,0
ITTO,5,0
TTO,7,0
PRATOMO,15,0
TOMO,167,6
OMO,297,17
ALDIA,2,1
LDIA,2,3
RINI,6,332
ANTIKA,2,37
NURULAINI,0,2
GISTI,0,1
ISTI,11,182
STI,80,699
PUJI,67,213
UJI,177,266
UMAR,89,2
MAR,237,18
RUSSALI,1,0
SALI,63,8
KIKI,101,97
PURWITO,1,0
WITO,15,1
ITO,203,13
WARDANI,25,114
DANI,1085,834
IULIANTONO,2,0
TONO,117,15
SARINATUS,0,1
SADIAH,1,92
ALFINRINDRIAWAN,1,0
ILMA,7,62
NURHASANAH,1,110
ANAH,22,1031
IONGKI,8,0
NGKI,88,28
GKI,89,28
ALISA,0,44
SAVA,3,5
AVA,51,18
EL,29,17
SAKILA,0,18
BAGASMARA,1,0
MARA,80,80
HOLIFANDI,0,1
SUKRON,35,0
KRON,42,1
RON,221,17
GUMELAR,39,4
ELAR,43,5
LAR,86,14
LINTANG,23,53
TANG,163,87
IURIAPRI,0,1
APRI,16,8
PRI,52,14
D,61,68
NOLANDA,0,1
FADIAHAIA,0,1
HAIA,17,88
TRIGOSA,0,1
GOSA,0,1
OSA,79,73
IOWAN,0,1
OWAN,1,1
FEBI,33,94
EBI,67,170
SHEILA,2,30
EILA,5,71
NOVIA,1,147
OVIA,1,160
U,16,15
SILO,70,11
ILO,74,11
SUSILAWATI,1,75
AMIL,101,17
MIL,118,28
TARUNA,11,0
RUNA,16,5
AGNIA,3,13
GNIA,3,13
SIFA,21,308
IFA,78,633
HOERUL,45,6
ERUL,122,11
HASANAH,6,452
FALOMITHA,0,1
ITHA,3,135
THA,59,256
ARTAMEVIA,0,1
EVIA,0,41
NONA,0,3
ONA,51,124
ADAWIAH,0,52
WIAH,4,120
SAKIA,6,34
AKIA,8,44
KIA,57,271
HUNAFA,2,0
NAFA,3,14
AFA,175,127
LIROI,1,0
IROI,1,0
ROI,45,1
RUBIANTO,3,0
MUHHAMAD,5,1
HANING,0,2
CAHIATI,0,36
HANUM,1,26
ANUM,4,26
NUM,4,31
TAKWA,8,2
AKWA,10,3
KWA,11,3
MIHA,1,2
PANDANGO,0,1
ANGO,0,1
NGO,6,3
REIDA,1,0
EIDA,2,13
MAARIF,38,0
ARIF,637,16
RIF,644,17
ROSIDA,1,40
SIDA,5,53
ANNISA,3,274
NISA,21,1373
FERDAUS,2,1
DAUS,259,51
AUS,266,54
AFIFA,0,7
FIFA,1,13
AIDA,14,128
FAISAL,322,4
MIA,16,138
AWALIA,0,23
KAFINNAWAWI,1,0
WAWI,38,2
AWI,93,6
USEP,20,0
MUNANDAR,30,1
NDAR,208,24
DAR,302,34
NENG,9,320
VIRA,4,124
NOOR,49,47
OOR,52,47
SAID,63,5
AID,92,8
JOKO,96,4
OKO,259,13
SUSILO,63,10
TEGUH,138,6
EGUH,138,6
PROKOSO,1,0
KOSO,63,1
ALDIAN,18,0
EBES,1,0
BES,1,0
SOBARI,25,3
BARI,46,10
PALAH,5,0
ALAH,106,40
MAULUDIN,23,0
BERISI,1,0
RISI,129,6
ISI,181,65
BUPAH,0,1
UPAH,2,4
PAH,15,204
SAWAROH,0,1
AROH,12,293
FAHRI,164,3
AHRI,265,9
HRI,298,15
IRFANI,13,2
FANI,104,178
FITRA,25,12
NUGI,12,0
UGI,46,13
ALWI,65,2
LWI,65,4
BASURI,1,0
SURI,21,8
URI,171,147
FARHAN,212,3
RHAN,267,7
PRIATAMA,7,0
HERA,5,23
ERA,46,190
HAMID,62,5
AMID,68,5
MID,71,5
DAIU,9,5
AGE,4,1
LINI,0,12
MAHESTI,0,2
ESTI,12,392
NUNUNG,9,29
NUNG,27,45
SUGIANTO,41,4
DERI,58,2
FAIRULAH,1,0
AHMAT,54,1
HMAT,378,14
BAIHAKI,59,2
HAKI,99,4
AKI,408,18
OKTARIANA,0,1
GINANTI,0,2
WIRAIAT,0,1
MULIO,18,2
ULIO,35,4
LIO,67,7
SROHLI,1,0
OHLI,1,1
HLI,4,2
SANDI,253,21
PURNOMO,115,10
NOMO,122,10
VERRO,1,0
ERRO,1,0
RRO,3,1
TOHIRON,1,0
IRON,17,0
ALSIAM,1,0
SIAM,5,7
LUTFIASARI,0,1
NIHAIATUN,0,1
NIMAH,0,33
ARINA,0,27
RINA,15,666
MANASIKAMA,0,1
KAMA,3,2
MILTA,0,2
ILTA,0,2
LTA,7,14
NURJAIANTI,1,5
OKTAVIANI,2,155
F,101,101
ROMI,41,6
OMI,135,31
DIKI,178,5
IUNIAR,11,56
NIAR,28,93
IAR,256,126
ROMANDONI,1,2
ABDILAH,121,10
KARTIKO,16,4
TIKO,35,8
IKO,235,20
SAIFUL,191,1
IFUL,217,1
FUL,326,4
MUHLISIN,24,0
ISIN,72,6
KURNIAWAN,578,23
SHINTA,1,85
MISBAHUL,24,0
MUJIB,25,0
UJIB,25,0
JIB,78,5
HAIDAR,40,3
IDAR,53,6
IOHANA,3,22
HANA,38,152
SOINATUS,0,1
SAFA,24,41
ARSITA,0,9
SITA,8,216
NURIANI,1,26
HIDAIAH,35,133
AIAH,48,279
CIPTANING,1,3
NUGRAHA,337,16
RAHA,366,17
AHA,384,35
SUGANGSA,1,0
NGSA,12,3
GSA,14,3
SAWAHIDUL,1,0
IDUL,23,3
HAK,104,30
SAIN,52,19
ABIDIN,88,4
IDIN,286,11
RIHO,20,0
IHO,30,2
PANGESTU,147,6
ESTU,275,59
STU,282,64
ELI,42,399
AMRIA,0,1
MRIA,0,1
MUJI,33,11
FAUSAN,199,2
USAN,219,35
SAN,900,74
KOLBI,8,9
OLBI,8,10
LBI,22,13
AKBAR,474,10
KBAR,484,11
BAR,561,40
LUSTIONIO,1,0
ONIO,20,0
SUJADI,2,0
JADI,6,1
RANDI,66,3
RAMDANI,297,28
HILMI,81,11
ILMI,117,64
LMI,194,83
IMAM,327,3
MAM,446,9
NOVIANTO,45,2
ADSIM,7,0
DSIM,7,0
SIM,90,5
IN,8,71
HOIRUMAN,3,0
UMAN,26,1
FITRIANTO,26,0
SAFIRA,2,121
FIRA,4,262
IUNIARTI,1,18
MUFIDAH,2,27
IDAH,17,527
ADE,325,157
FURKON,24,0
RKON,27,1
KON,40,4
JULIANTO,52,1
PRISMA,5,2
HANDIKA,49,4
MITA,18,164
WIDIA,31,253
IDIA,41,446
IMADA,0,2
MADA,24,14
PRASTIWI,0,14
TEDI,71,0
EDI,533,31
ISWANO,1,0
WANO,1,0
ANO,164,7
PRAMUDIA,59,8
NADIA,4,295
ADIA,37,361
CRISTIAN,6,2
LAKSMITASARI,0,1
MUHKAMAD,1,0
MATMUT,1,0
TMUT,1,0
MUT,1,3
BAHTIAR,138,3
TIAR,177,13
RENI,4,149
ENI,385,1246
ANFANI,0,1
BAGAS,210,3
AGAS,220,3
GAS,231,3
TEGAR,132,2
EGAR,162,11
SATRIAJI,3,0
INUNG,1,2
MEI,21,117
SAPUTRI,6,196
AMAT,69,1
SAKARIA,75,2
MIRSA,24,8
KURDIANSAH,2,0
ALFAN,67,3
LFAN,85,4
FAN,609,9
HANAN,21,6
ANAN,61,18
SAIFULOOH,1,0
LOOH,1,0
OOH,1,0
HARIS,122,4
SUBEHI,5,1
BEHI,5,1
EHI,6,1
IPUNG,5,2
PUNG,9,3
MAHFIROH,0,7
ROHAMIDAH,0,1
ULFAIATI,0,2
TESA,4,12
ARISTIAN,1,3
NINO,9,2
INO,242,12
GOMES,2,0
OMES,2,0
MES,13,4
HOLIS,50,4
OLIS,83,15
KOMARUDIN,32,2
NURLAILA,0,21
AILA,8,451
RIFAL,23,0
IFAL,31,2
FAL,271,10
HANAFI,65,2
NAFI,97,7
AFI,483,28
ALFIAN,144,5
FIAN,336,15
HAFISH,36,1
FISH,42,1
ISH,65,9
SIDANE,24,1
DANE,29,1
ANE,36,32
PRASTIKA,0,14
DIDIN,31,3
EFENDI,143,20
RISTIANTO,10,0
ROHIMAH,1,40
SOPIAN,128,8
PIAN,161,9
RIANDI,17,2
MAULIDI,12,1
LIDI,15,2
SULPA,2,2
ULPA,3,4
LPA,6,11
ALPIANI,0,6
ADINDA,4,116
HAJAR,7,19
AJAR,495,67
JAR,612,87
ELVIS,0,1
LVIS,3,1
VIS,19,7
ALVINA,1,24
VINA,2,305
JONATHAN,27,1
THAN,82,2
E,20,20
T,32,40
JUANITA,0,6
RUSLIANA,0,2
RAHMAH,3,90
HMAH,16,334
ADRIANI,0,14
ALWAN,16,0
LWAN,25,1
ANUGERAH,18,7
ERAH,18,10
PRIMA,40,15
RIMA,45,86
BAGASKARA,23,0
KARA,51,5
RIDWAN,266,9
DWAN,273,10
RIFI,8,2
IFI,36,45
ABDURAHMAN,28,0
TAGOR,1,0
AGOR,1,0
GOR,4,0
HARAHAP,14,4
AHAP,14,4
HAP,14,4
BENNI,15,0
ENNI,41,80
ROINANTO,1,0
SINURAT,1,1
URAT,1,1
RAT,24,10
LILIS,3,106
ILIS,9,112
FAUSIAH,3,242
SIAH,11,430
MAHESA,29,3
HESA,38,9
SAFARINDA,1,0
RIFKI,374,6
IFKI,392,7
FKI,397,7
HAKIM,233,13
AKIM,307,16
KIM,326,16
H,131,107
ROHMAD,45,2
TONI,146,4
WANDA,15,37
APRIANTO,63,1
NATASA,1,77
TASA,7,196
RARASWANGI,0,1
ANGI,7,25
NGI,13,26
NAUFAL,199,5
UFAL,212,6
AMAR,122,6
AMAANULAH,1,0
IUNUS,46,3
UNUS,48,3
NOAM,1,0
OAM,1,0
ODE,3,2
IHOVA,1,0
HOVA,1,1
OVA,64,155
HARENITO,1,0
NITO,4,1
SENI,9,25
RATNA,6,204
AMILIA,0,25
ISTIKOMAH,1,94
OMAH,5,188
